"Ward","Total2010","White2010","Black2010","Asian2010","HisLat2010","Other2010","Whiteperc","Blackperc","Asianperc","Hisperc","otherperc","PERCENT OF HOUSING CROWDED","PERCENT HOUSEHOLDS BELOW POVERTY","PERCENT AGED 16+ UNEMPLOYED","PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA","PERCENT AGED UNDER 18 OR OVER 64","PER CAPITA INCOME","HARDSHIP INDEX","Birth Rate","General Fertility Rate","Low Birth Weight","Prenatal Care Beginning in First Trimester","Preterm Births","Teen Birth Rate","Assault (Homicide)","Breast cancer in females","Cancer (All Sites)","Colorectal Cancer","Diabetes-related","Firearm-related","Infant Mortality Rate","Lung Cancer","Prostate Cancer in Males","Stroke (Cerebrovascular Disease)","Childhood Blood Lead Level Screening","Childhood Lead Poisoning","Gonorrhea in Females","Gonorrhea in Males","Tuberculosis","Below Poverty Level","Crowded Housing","Dependency","No High School Diploma","Per Capita Income","Unemployment"
21,51632,149,50455,17,468,543,0.00288580725131701,0.977204059497986,0.00032925317632476,0.00906414626588162,0.0105167338084909,2.87237178493957,23.2795146420824,24.9139719553765,16.6542764177254,42.0244112178494,17236.3324488689,62.8547799814069,13.9758405639913,67.199682367524,14.4022854044004,72.7310679423613,14.5931960799504,76.4069336845367,38.2416079175705,44.0488456770995,249.681794236133,26.9622733963434,83.180535326929,34.228614037806,13.4316993337465,66.9208610938953,49.2205841338705,60.5526340254106,384.531054384878,1.51618763557484,1733.76063875116,1721.30636814379,5.95543074062597,21.1028083359157,2.96063487759529,42.0301014874496,17.8601991013325,17540.847826929,21.4826444840409
22,53515,2118,4417,182,46597,201,0.0395776884985518,0.0825376062786135,0.00340091563113146,0.870727833317761,0.00375595627394189,13.4861179108661,28.4249089040456,15.4098458376156,49.8295674110063,34.5540353172008,12348.2087825843,88.1247687564234,18.8024759413249,91.578566756984,7.85647201719144,84.4424329627207,9.73991404279174,73.1287695038774,11.9221694851911,16.2063421470616,143.49630197141,11.7303746613099,67.7516303840045,9.45784546388863,5.95540128935812,22.3048042604877,33.0628982528263,38.7763113145847,574.881384658507,0.732802018125759,337.189449687004,163.942847799682,7.41331402410539,26.107257778193,15.5294515556386,34.0746089881342,53.2466392600206,12414.964084836,11.2843894235261
23,53728,15911,1347,346,35823,301,0.296139815366289,0.0250707266229899,0.00643984514592019,0.666747319833234,0.00560229303156641,6.82009380583681,15.9263977814175,13.5817692823109,30.2012823853484,38.8160623883264,18692.0289234664,57.466330405003,17.8962384603931,81.0380230047647,7.44342986896962,81.2854377605718,8.86094773674806,47.1520175699821,11.9344810899345,22.2491959499702,185.58137097975,19.1617350357356,70.931108546754,11.4634213073258,7.43379429720071,49.7020324597975,28.8177523823705,47.6477870011912,459.255987567004,0.421772632519357,440.736049173615,405.588563691185,4.05533986003574,13.3956819535438,6.5034116289458,39.7018872840977,30.9095238981537,18432.0611785289,10.5534898004765
24,54909,2185,46937,121,5245,421,0.0397931122402521,0.854814329162797,0.00220364603252654,0.095521681327287,0.00766723123713781,9.5454151414158,39.655540985995,20.0492523994245,33.6316141251889,40.5141288313391,11676.1014405653,89.089238558342,20.1566409878162,88.0611411608297,13.6741317452512,77.5711030978528,14.0370303593218,99.7935984993353,36.4687136899233,36.0795771185052,227.920442914641,27.2517911453496,91.9734979693675,30.0681090531607,12.1153144293285,50.1865104081298,52.3335099892549,60.3599318873044,566.224063450436,1.215407310277,1987.48335063469,1660.40881094174,9.07137809830811,36.0331931013131,9.92908084284908,39.2253273598135,36.7791127137628,12104.0386093354,17.0657487843523
25,54539,10871,4758,7543,30670,697,0.199325253488329,0.0872403234382735,0.138304699389428,0.562349878068905,0.0127798456150644,7.64952969434716,25.679686096188,14.4400649076807,32.1780689048204,30.5382588606318,23849.4877793872,61.2713287739049,16.0741616091237,63.2418452850254,6.38000330039055,79.8677166798071,9.43842571370946,41.3151634610096,10.261196574928,26.6232824217532,155.489260895873,14.6250609655476,58.6892462274703,9.72403601092796,5.80397880415849,38.8454463778214,18.1979592585123,40.4040594803718,527.461840151085,0.657419461302921,218.495581143769,177.108442525074,13.0011734721942,26.0915399988999,8.17768202570638,32.2685234419406,35.0479730101395,22766.3718440015,12.0479271713819
26,53516,10470,6619,576,35211,640,0.195642424695418,0.123682636968383,0.0107631362583153,0.657952761790866,0.011959040287017,9.36247664249944,25.5837002018088,12.8434038418417,26.4400384931609,31.6418884072053,24818.9637117871,54.5742021077808,19.0041707153001,72.7960217505045,10.516542716197,73.4036082666866,11.0443530906645,67.5585862172061,19.7894293295463,20.4215729875177,179.270507885492,20.377040511249,94.611415277674,15.9572950145751,7.71679871440317,39.7997327901936,36.5200967934823,43.8640107631363,396.375173779804,0.988870618132895,753.502135809851,586.517192989013,7.95016443680395,25.1723241647358,7.37891471709395,32.2204835936916,27.7991198893789,23196.2853352268,9.86163950967935
27,52939,13328,31471,1803,5347,990,0.25176146130452,0.594476661818319,0.0340580668316364,0.10100304123614,0.0187007688093844,6.48077220952417,23.8198964846333,11.9282494947014,16.4993275279095,28.6265626475755,42770.0713273768,36.7627080224409,17.0049094240541,61.2024103213132,10.7099756323316,73.3013676117796,11.2857930826045,54.7848996014281,17.0846974820076,25.2676155575285,185.3732975689,19.7860934282854,73.3779500935038,14.0535805360887,8.27807287632936,47.1526568314475,36.705821794896,40.1984623812312,389.670418783883,0.663941517595723,816.926581537241,632.221043087327,9.34585088498083,23.6979391374979,5.44399591983226,29.2139764634768,18.0846578137101,41048.3414495929,9.78523583747332
28,55199,6432,41554,2680,3720,813,0.116523850069748,0.752803492816899,0.0485516041957282,0.0673925252269063,0.014728527690719,6.7909128788565,32.8637620246744,19.5123426149024,19.9181905469302,36.1895052446602,21891.9643834127,64.2469791119404,18.9547310639686,75.8327813909672,14.4170945125818,74.0006884182684,14.4646515335423,80.9779742386637,31.0906393231761,37.2368974075617,248.1888240729,26.5735556803565,97.0533216181452,27.0678146343231,13.1904907697603,66.0004311672313,61.9526603742821,57.0989075889056,477.251102375043,1.20643127592891,1942.05280711607,1543.71869236762,9.85188137466258,31.7043768908857,6.38101958368811,36.2964800086958,21.9578561205819,21143.1167955941,18.2640428268628
29,55267,8625,38026,654,7262,700,0.156060578645485,0.688041688530226,0.0118334630068576,0.131398483724465,0.0126657860929669,6.37578844518429,26.149733113793,20.9251705357628,23.7420648850128,37.6390250963504,17221.3050102231,67.7621365371741,17.5223533030561,79.2582173810773,14.1608609115747,74.0160674543579,13.5071308375703,75.5175909674851,29.9441113141658,32.6116181446433,247.31305118787,28.297135722945,106.509884741347,24.9138491323937,11.9445021441366,69.5908372084607,62.3994987967503,53.5664410950477,458.422134365896,1.76626377404238,1549.40066650872,1488.77878596744,5.32302820851503,24.4260734253714,5.64937123419039,38.3617457072032,24.7854524399732,17131.8767619013,19.2213038522084
30,55560,15566,1169,1711,36415,699,0.28016558675306,0.021040316774658,0.0307955363570914,0.655417566594672,0.0125809935205184,7.72909467242621,15.743288336933,12.1635817134629,28.6625161987041,34.2702789776818,19909.6658927286,51.3136429085673,17.9578509719222,78.7041486681065,7.11298956083513,76.0465928725702,8.14631749460043,57.5729427645788,5.33585133189345,18.7237041036717,153.247501799856,16.5874730021598,55.3225593952484,5.15422606191505,5.42419546436285,38.3027627789777,26.5758081353492,38.0185781137509,371.812185025198,0.686882649388049,100.867734262509,108.728813894888,8.56894528437725,15.2908441324694,7.28973002159827,34.0634773218143,28.6641738660907,19742.5990460763,10.5725107991361
31,53724,10184,1263,989,40767,521,0.189561462288735,0.023509046236319,0.0184089047725411,0.758822872459236,0.00969771424316879,7.95310103491922,17.7179361179361,12.9906168565259,32.5403469585288,35.062273844092,18685.2475243839,58.6343719752811,18.9959980641799,81.7355595264686,6.91431203931204,76.0593161343161,8.19702181520363,64.4450208472936,7.75080969399151,15.9765709924801,149.611802918621,16.3235723326632,59.8435559526469,7.19472675154493,6.11612687067232,36.3208472935746,24.7469026878118,35.098347107438,388.676020028293,0.744248380612017,119.242634576725,127.098751023751,9.94632008041099,17.474592360956,7.90837242200879,34.9497505770233,32.8496537860174,18252.843924503,11.0989222693768
32,55184,40036,1474,2511,9996,1167,0.725500144969556,0.0267106407654393,0.0455023195129023,0.18113946071325,0.0211474340388518,1.96531603363294,13.396785300087,6.58863982313714,9.50108183531458,23.9482368077704,46539.8907291969,13.537257175993,17.8505273267614,59.4521999130183,7.53963648883734,78.2830512467382,9.21065345027544,38.2262449260655,5.04795955349377,14.4273285734996,145.707581907799,16.3623278486518,64.2663924325892,5.84684147579008,3.51462561612061,37.2695400840823,18.0319839083792,33.2479396201798,273.230961873007,0.757870034792694,143.694723108147,190.034946723688,5.11267939982604,13.3772687735576,1.91338069005509,23.9244998550304,11.5091801971586,43536.454914468,6.01911061177153
33,55598,17958,1961,4956,29413,1310,0.322997230116191,0.0352710529155725,0.0891398971186014,0.52902982121659,0.0235619986330444,8.38575308464333,16.2174322817368,9.8144681463362,27.3963200115112,31.6552969531278,23169.5747688766,43.9315083276377,17.4732778157488,73.4714791898989,7.97033706248426,75.8326018921544,8.78539695672506,45.8558833051549,4.48068455699845,23.8996618583402,156.633292564481,16.918567214648,63.7095956689089,5.26726500953272,5.20769092413396,37.4520576279722,20.1092053670995,39.3814885427533,359.40232742185,0.88253174574625,108.043343060901,93.0542224990107,12.7151192488938,14.3621191409763,8.05873592575272,31.5687920428792,28.3610183819562,22645.602072017,9.49477679053203
34,51599,273,50042,39,667,578,0.00529080020930638,0.969824996608461,0.000755828601329483,0.0129266071047889,0.0112017674761139,2.237491036648,20.1822244617144,18.9651485493905,16.4477470493614,41.5609430415318,19617.7526114847,50.5117153433206,14.073140952344,68.1587395104556,13.9472567297816,71.9560475978217,13.7790034690595,66.4643055097967,37.286075311537,33.7657919727126,252.580393030873,30.8822864784201,84.6594701447703,36.1329444369077,11.3347060989554,69.2146727649761,55.812897536774,57.4229868795907,364.973954921607,1.43468865675691,1386.94853582434,1442.14046202446,6.55276071241691,19.434018101126,2.41160681408554,41.2951433167309,17.6647105564061,19325.7187736196,16.9721254287874
35,55281,10855,2359,2791,38313,963,0.196360413161846,0.0426728894195112,0.0504875092708164,0.693059098062625,0.0174200900852011,6.51986396772852,17.0749895985963,9.87858215300013,26.1001374794233,30.8574700168231,24043.1063475697,42.5141911325772,18.234992131112,73.1802047719831,7.48796512364103,76.6857148025542,8.87668638411027,56.921631301894,7.07835603552758,18.3057017781878,149.286264720247,15.530321448599,66.4514064506793,7.75482896474376,5.67866536423002,35.5421591505219,21.4268301948228,35.0372967203922,368.029988603679,0.846135200159187,142.028823646461,114.253714657839,11.8661022774552,16.0120222137805,6.60546661601635,30.9031367015792,27.7332446952841,23058.1768419529,9.49983176860042
36,54766,14395,1883,1461,36496,531,0.26284556111456,0.0343826461673301,0.0266771354490012,0.666398860606946,0.00969579666216266,8.58524997261074,16.2340247598875,13.5347861812073,30.037999853924,36.5490322462842,19117.7791330387,56.6095752839353,17.7719643574481,81.5548259869262,7.12255779133039,76.7103074900486,8.31571960705547,57.1599368221159,6.63074717890662,19.5096191067451,159.323220611328,18.2016415294161,60.3893419274732,5.82671548040755,5.39622028265712,39.8963681846401,24.5077018588175,37.2415622831684,360.573509111493,0.679419712960596,235.610275678569,241.32712395122,6.96984442902531,15.4792992002337,7.82797538618851,36.0094657269109,30.8627542635942,18814.8127487857,10.9459427381952
37,51538,752,40790,183,9356,457,0.0145911754433622,0.791454848849393,0.00355077806666925,0.18153595405332,0.008867243587256,8.55250688812139,30.0603845706081,21.2212813846094,27.2958419030618,37.9557394543832,15358.5490511855,76.2543172028406,18.3268248670884,80.3021362877876,14.5915790290659,72.3663568628973,13.6316620745857,80.9435542706353,33.0044006364236,31.8593814272964,248.674496488028,28.9647172959758,108.705714230277,27.0097151616283,12.4077321587955,67.5495304435562,65.2699367457022,56.0337653770034,480.681206100353,1.8125848888199,1615.16995614886,1487.05922620203,6.82999922387365,28.540562303543,7.16390624393651,38.8336858240522,28.1118242849936,15228.9518607629,18.7319298381777
38,56001,38754,485,2319,13680,763,0.692023356725773,0.0086605596328637,0.0414099748218782,0.244281352118712,0.0136247567007732,4.65775789718041,11.228913769397,11.0100998196461,17.3294744736701,33.6394135819003,25419.3122979947,30.8742522454956,13.371632649417,65.5227674505812,6.70926412028357,81.4134390457313,9.18025570971947,29.194959018589,3.60368743415296,23.3964125640614,179.454607953429,20.862639952858,45.1679220013928,5.25132229781611,4.69537151122301,49.3249209835539,19.3573471902287,34.9009999821432,254.993855466867,0.289789468045213,139.745475750433,108.327429309298,3.25263477437903,10.0840967125587,4.50860520347851,34.428456634703,18.0191871573722,25286.8016106855,9.30915876502205
